article_id,year,corpus,article_type
1101361,2015,opinions,column
1101388,2015,news,news
1101305,2015,news,news
1101430,2015,news,news
1101433,2015,news,news
1101442,2015,opinions,column
1101445,2015,opinions,column
1101439,2015,news,news
1101448,2015,news,news
1101461,2015,news,news
1101560,2015,news,news
1101508,2015,news,news
1101562,2015,news,news
1101510,2015,opinions,column
1101509,2015,opinions,column
1101513,2015,opinions,column
1101600,2015,news,news
1101601,2015,news,news
1101598,2015,opinions,column
1101597,2015,news,news
1101652,2015,opinions,op-ed
1101735,2015,news,news
1101678,2015,opinions,opinion
1101673,2015,news,news
1101604,2015,news,news
1101677,2015,opinions,column
1101751,2015,news,news
1101699,2015,opinions,column
1101761,2015,news,news
1101757,2015,news,news
1101784,2015,opinions,op-ed
1101781,2015,opinions,column
1101783,2015,opinions,op-ed
1101829,2015,opinions,column
1101830,2015,opinions,op-ed
1101870,2015,opinions,op-ed
1101765,2015,news,news
1101839,2015,news,news
1101855,2015,news,news
1101788,2015,news,news
1101981,2015,news,news
1101988,2015,news,news
1101782,2015,news,news
1101769,2015,news,news
1102017,2015,news,news
1102042,2015,news,news
1102053,2015,opinions,column
1102052,2015,opinions,column
1102072,2015,news,news
1101859,2015,news,news
1102051,2015,opinions,column
1102125,2015,news,news
1102081,2015,opinions,column
1102080,2015,opinions,column
1102050,2015,opinions,editorial
1102138,2015,news,news
1102158,2015,news,news
1102161,2015,opinions,op-ed
1102166,2015,news,news
1102168,2015,news,news
1102204,2015,news,news
1102210,2015,news,news
1102232,2015,news,news
1102211,2015,news,news
1102238,2015,news,news
1102252,2015,news,news
1102279,2015,news,news
1102302,2015,news,news
1102326,2015,news,news
1102373,2015,news,news
1102332,2015,news,news
1102320,2015,news,news
1102365,2015,news,news
1102335,2015,news,news
1102380,2015,news,news
1102387,2015,opinions,op-ed
1102395,2015,news,news
1102399,2015,opinions,column
1102401,2015,news,news
1102428,2015,news,news
1102430,2015,news,news
1102455,2015,news,news
1102466,2015,news,news
1102463,2015,news,news
1102499,2015,news,news
1102473,2015,news,news
1102477,2015,news,news
1102475,2015,news,news
1102468,2015,news,news
1102498,2015,news,news
1102519,2015,news,news
1102517,2015,news,news
1102518,2015,news,news
1102515,2015,news,news
1102513,2015,news,news
1102549,2015,news,news
1102470,2015,news,news
1102559,2015,news,news
1102547,2015,news,news
1102536,2015,news,news
1102525,2015,news,news
1102557,2015,news,news
1102583,2015,opinions,column
1102590,2015,news,news
1102643,2015,news,news
1102632,2015,news,news
1102701,2015,news,news
1102696,2015,news,news
1102698,2015,news,news
1102703,2015,news,news
1102721,2015,news,news
1102853,2015,news,news
1102858,2015,news,news
1102835,2015,news,news
1102801,2015,news,news
1102874,2015,news,news
1102704,2015,news,news
1102880,2015,news,news
1102883,2015,news,news
1103012,2015,news,news
1103134,2015,news,news
1103011,2015,news,news
1103016,2015,news,news
1103132,2015,news,news
1103196,2015,news,news
1103215,2015,news,news
1103224,2015,news,news
1102897,2015,news,news
1103263,2015,news,news
1103235,2015,opinions,column
1103251,2015,opinions,column
1103238,2015,opinions,column
1103233,2015,news,news
1103234,2015,opinions,column
1103297,2015,news,news
1103283,2015,news,news
1103239,2015,news,news
1103216,2015,news,news
1103230,2015,news,news
1103205,2015,news,news
1103395,2015,news,news
1103457,2015,opinions,column
1103456,2015,opinions,column
1103461,2015,news,news
1103465,2015,news,news
1103467,2015,news,news
1103586,2015,news,news
1103550,2015,news,news
1103219,2015,news,news
1103558,2015,news,news
1103668,2015,news,news
1103644,2015,news,news
1103557,2015,opinions,column
1103648,2015,news,news
1103726,2015,opinions,column
1103666,2015,opinions,column
1103634,2015,opinions,column
1103642,2015,opinions,column
1103727,2015,news,news
1103724,2015,news,news
1103722,2015,news,news
1103636,2015,news,news
1103717,2015,opinions,column
1103782,2015,news,news
1103888,2015,news,news
1103819,2015,news,news
1103816,2015,news,news
1103793,2015,news,news
1103791,2015,opinions,column
1103821,2015,opinions,column
1103809,2015,news,news
1103908,2015,news,news
1103904,2015,news,news
1103930,2015,news,news
1103899,2015,news,news
1103894,2015,opinions,column
1103892,2015,opinions,column
1104070,2015,news,news
1103977,2015,news,news
1103951,2015,news,news
1103982,2015,news,news
1104019,2015,news,news
1104018,2015,news,news
1104033,2015,news,news
1103976,2015,opinions,column
1103943,2015,opinions,column
1103964,2015,opinions,column
1104022,2015,opinions,column
1104015,2015,opinions,column
1104088,2015,news,news
1104102,2015,news,news
1104092,2015,opinions,op-ed
1104110,2015,news,news
1104146,2015,opinions,column
1104183,2015,opinions,op-ed
1104206,2015,news,news
1104200,2015,news,news
1104209,2015,news,news
1104162,2015,news,news
1104174,2015,news,news
1104185,2015,news,news
1104298,2015,news,news
1104289,2015,opinions,column
1104296,2015,news,news
1104305,2015,news,news
1104293,2015,opinions,column
1104288,2015,opinions,opinion
1104406,2015,news,news
1104375,2015,news,news
1104389,2015,opinions,column
1104385,2015,news,news
1104383,2015,opinions,column
1104388,2015,news,news
1104374,2015,opinions,op-ed
1104470,2015,news,news
1104417,2015,opinions,column
1104414,2015,opinions,column
1104498,2015,news,news
1104491,2015,news,news
1104508,2015,news,news
1104529,2015,news,news
1104534,2015,news,news
1104538,2015,news,news
1104100,2015,news,news
1104448,2015,news,news
1104455,2015,news,news
1104467,2015,news,news
1104516,2015,news,news
1104496,2015,opinions,column
1104497,2015,opinions,op-ed
1104565,2015,opinions,op-ed
1104602,2015,opinions,opinion
1104596,2015,opinions,editorial
1104568,2015,news,news
1104564,2015,opinions,column
1104593,2015,news,news
1104623,2015,news,news
1104579,2015,opinions,column
1104559,2015,news,news
1104642,2015,news,news
1104648,2015,opinions,column
1104647,2015,opinions,column
1104663,2015,opinions,op-ed
1104649,2015,opinions,op-ed
1104664,2015,news,news
1104673,2015,news,news
1104676,2015,news,news
1104672,2015,news,news
1104813,2015,news,news
1104737,2015,news,news
1104762,2015,opinions,column
1104747,2015,opinions,op-ed
1104786,2015,news,news
1104749,2015,opinions,column
1104763,2015,news,news
1104780,2015,news,news
1104888,2015,news,news
1104802,2015,news,news
1104815,2015,news,news
1104899,2015,opinions,column
1104882,2015,opinions,column
1104807,2015,opinions,op-ed
1104803,2015,opinions,column
1104804,2015,news,news
1104909,2015,news,news
1104889,2015,news,news
1104911,2015,news,news
1105069,2015,news,news
1104946,2015,news,news
1104917,2015,news,news
1105014,2015,opinions,column
1105066,2015,news,news
1105064,2015,news,news
1104973,2015,news,news
1105065,2015,news,news
1105026,2015,opinions,column
1105118,2015,opinions,column
1105119,2015,opinions,op-ed
1105126,2015,opinions,column
1105107,2015,news,news
1105117,2015,opinions,column
1105205,2015,opinions,column
1105202,2015,opinions,column
1105154,2015,news,news
1105120,2015,news,news
1105123,2015,news,news
1105137,2015,news,news
1105140,2015,news,news
1105290,2015,news,news
1105201,2015,news,news
1105253,2015,news,news
1105269,2015,news,news
1105296,2015,news,news
1105281,2015,opinions,column
1105208,2015,news,news
1105248,2015,news,news
1105287,2015,opinions,op-ed
1105282,2015,opinions,column
